Model,Batch,Quartile,Rate,CI_Low,CI_High,N_Passed,N_Defects,Bootstrap_Reps,Seed
gpt_5_mini,isolated,Q1,0.3333333333333333,0.0,0.6512630312750597,30,8,2000,0
gpt_5_mini,isolated,Q2,0.1111111111111111,0.0,0.3142857142857143,36,9,2000,0
gpt_5_mini,isolated,Q3,0.14705882352941177,0.0,0.3334999999999991,34,10,2000,0
gpt_5_mini,isolated,Q4,0.0975609756097561,0.0,0.2381211180124222,41,10,2000,0
gpt_5_mini,two_way,Q1,0.3786407766990291,0.029850746268656716,0.6865210403272934,103,9,2000,0
gpt_5_mini,two_way,Q2,0.12389380530973451,0.009606481481481483,0.3500735294117643,113,11,2000,0
gpt_5_mini,two_way,Q3,0.2564102564102564,0.0,0.5563987287807146,117,10,2000,0
gpt_5_mini,two_way,Q4,0.10625,0.010101010101010102,0.2585293659448511,160,10,2000,0
gpt_5_mini,three_way,Q1,0.3786407766990291,0.028169014084507043,0.7091854185418537,206,10,2000,0
gpt_5_mini,three_way,Q2,0.13596491228070176,0.01183373712901272,0.41850853232710056,228,11,2000,0
gpt_5_mini,three_way,Q3,0.21232876712328766,0.031617441100494845,0.43614176602366517,292,11,2000,0
gpt_5_mini,three_way,Q4,0.19076923076923077,0.05046875,0.40126695929768463,325,9,2000,0
deepseek_v3_2,isolated,Q1,0.5333333333333333,0.0,0.7917467948717944,30,8,2000,0
deepseek_v3_2,isolated,Q2,0.375,0.06666666666666667,0.6945075757575754,32,9,2000,0
deepseek_v3_2,isolated,Q3,0.5483870967741935,0.07400793650793651,0.8378596338273756,31,7,2000,0
deepseek_v3_2,isolated,Q4,0.40384615384615385,0.0,0.6666666666666666,52,9,2000,0
deepseek_v3_2,two_way,Q1,0.45454545454545453,0.03919683257918552,0.743425269905533,88,10,2000,0
deepseek_v3_2,two_way,Q2,0.35398230088495575,0.0,0.6761921891058582,113,9,2000,0
deepseek_v3_2,two_way,Q3,0.41739130434782606,0.05434782608695652,0.6741952626784086,115,9,2000,0
deepseek_v3_2,two_way,Q4,0.39805825242718446,0.04254996776273372,0.7315112761276126,206,10,2000,0
deepseek_v3_2,three_way,Q1,0.23837209302325582,0.024489475885140787,0.5618050965704634,172,10,2000,0
deepseek_v3_2,three_way,Q2,0.5045045045045045,0.03466972975643496,0.7245675549322113,222,11,2000,0
deepseek_v3_2,three_way,Q3,0.3170731707317073,0.01546193497224425,0.5980955409053151,287,11,2000,0
deepseek_v3_2,three_way,Q4,0.4304635761589404,0.02567704456330722,0.7666073709854717,453,10,2000,0
grok_4_1_fast,isolated,Q1,0.43243243243243246,0.0,0.6779812348668279,37,8,2000,0
grok_4_1_fast,isolated,Q2,0.5,0.13043478260869565,0.8277298850574705,26,8,2000,0
grok_4_1_fast,isolated,Q3,0.7096774193548387,0.25,0.9,31,9,2000,0
grok_4_1_fast,isolated,Q4,0.52,0.1794871794871795,0.7575757575757576,50,10,2000,0
grok_4_1_fast,two_way,Q1,0.5148514851485149,0.043432971014492755,0.7753979037267079,101,10,2000,0
grok_4_1_fast,two_way,Q2,0.3645833333333333,0.09433407325194229,0.6421240601503758,96,9,2000,0
grok_4_1_fast,two_way,Q3,0.5714285714285714,0.15091981132075472,0.7894804318488529,105,10,2000,0
grok_4_1_fast,two_way,Q4,0.5029585798816568,0.18985631200821076,0.75,169,10,2000,0
grok_4_1_fast,three_way,Q1,0.4425287356321839,0.03802822018135318,0.7693277310924365,174,8,2000,0
grok_4_1_fast,three_way,Q2,0.4326923076923077,0.1392587139901321,0.6954414838035525,208,9,2000,0
grok_4_1_fast,three_way,Q3,0.4396887159533074,0.09215532913372511,0.7226762635030863,257,11,2000,0
grok_4_1_fast,three_way,Q4,0.4831168831168831,0.13893807746435782,0.7521296537003839,385,10,2000,0
