Defect,Levels,C1_Readability,C2_Problem_Identification,C3_Explanation_Clarity,C4_Actionability,C5_Contextual_Adequacy,C6_Brevity
defect1_py,CODE_DOCSTRING,0.333,1.0,1.0,1.0,0.0,0.667
defect1_py,ERROR_DOCSTRING,0.667,0.667,0.667,1.0,0.0,0.333
defect1_py,TEST_DOCSTRING,1.0,0.333,0.333,1.0,0.0,0.667
defect1_py,DOCSTRING_SLICE_BLOCK,0.333,1.0,1.0,1.0,0.0,0.667
defect1_py,DOCSTRING_SLICE_BACKWARD,0.333,1.0,1.0,0.667,0.333,0.667
defect1_py,DOCSTRING_SLICE_FORWARD,0.0,0.0,0.333,1.0,1.0,0.667
defect1_py,DOCSTRING_SLICE_UNION,0.333,1.0,1.0,1.0,1.0,0.667
defect2_py,CODE_DOCSTRING,1.0,1.0,1.0,1.0,0.0,0.667
defect2_py,ERROR_DOCSTRING,1.0,0.0,0.0,1.0,0.0,1.0
defect2_py,TEST_DOCSTRING,1.0,0.333,0.333,1.0,0.0,0.333
defect2_py,DOCSTRING_SLICE_BLOCK,1.0,0.0,0.333,1.0,0.667,1.0
defect2_py,DOCSTRING_SLICE_BACKWARD,1.0,0.0,0.0,1.0,1.0,1.0
defect2_py,DOCSTRING_SLICE_FORWARD,1.0,0.0,0.0,1.0,0.333,0.667
defect2_py,DOCSTRING_SLICE_UNION,1.0,0.0,0.333,1.0,1.0,1.0
defect7_py,CODE_DOCSTRING,1.0,1.0,1.0,1.0,1.0,0.667
defect7_py,ERROR_DOCSTRING,1.0,1.0,1.0,1.0,1.0,0.667
defect7_py,TEST_DOCSTRING,1.0,1.0,1.0,1.0,1.0,1.0
defect7_py,DOCSTRING_SLICE_BLOCK,1.0,1.0,1.0,1.0,1.0,1.0
defect7_py,DOCSTRING_SLICE_BACKWARD,1.0,1.0,1.0,1.0,1.0,0.667
defect7_py,DOCSTRING_SLICE_FORWARD,1.0,0.0,0.0,1.0,1.0,0.667
defect7_py,DOCSTRING_SLICE_UNION,1.0,1.0,1.0,1.0,1.0,1.0
defect8_py,CODE_DOCSTRING,1.0,0.0,0.0,1.0,0.0,1.0
defect8_py,ERROR_DOCSTRING,1.0,1.0,1.0,1.0,0.333,0.667
defect8_py,TEST_DOCSTRING,1.0,1.0,1.0,1.0,0.667,1.0
defect8_py,DOCSTRING_SLICE_BLOCK,1.0,0.0,0.333,1.0,0.667,0.333
defect8_py,DOCSTRING_SLICE_BACKWARD,1.0,0.0,0.0,1.0,1.0,0.667
defect8_py,DOCSTRING_SLICE_FORWARD,1.0,0.0,0.667,1.0,1.0,0.667
defect8_py,DOCSTRING_SLICE_UNION,0.667,0.0,0.333,1.0,1.0,1.0
