Levels,C1_Readability,C2_Problem_Identification,C3_Explanation_Clarity,C4_Actionability,C5_Contextual_Adequacy,C6_Brevity,AVERAGE
TEST_SLICE_UNION,0.95,0.9,0.95,0.95,1.0,0.9,0.9416666666666668
TEST_SLICE_BACKWARD,0.9,0.85,1.0,1.0,0.9,0.9,0.9250000000000002
ERROR_SLICE_BLOCK,0.9,0.75,0.75,1.0,1.0,0.9,0.8833333333333334
ERROR_SLICE_BACKWARD,0.9,0.8,0.85,0.95,0.85,0.95,0.8833333333333333
TEST_DOCSTRING,1.0,0.8,0.9,0.95,0.6,1.0,0.875
ERROR_SLICE_UNION,0.95,0.75,0.8,1.0,0.8,0.9,0.8666666666666667
TEST_SLICE_BLOCK,1.0,0.8,0.8,1.0,0.55,0.95,0.8500000000000001
ERROR,1.0,0.75,0.75,1.0,0.7,0.9,0.8500000000000001
DOCSTRING_SLICE_UNION,0.75,0.6,0.75,1.0,0.95,1.0,0.8416666666666667
CODE_TEST,0.75,1.0,1.0,0.9,0.4,0.95,0.8333333333333334
ERROR_SLICE_FORWARD,0.9,0.7,0.7,1.0,0.85,0.85,0.8333333333333331
ERROR_TEST,0.9,0.85,0.85,1.0,0.4,0.9,0.8166666666666668
CODE_ERROR,0.6,1.0,1.0,1.0,0.3,0.95,0.8083333333333332
CODE_SLICE_UNION,0.75,0.55,0.7,1.0,0.9,0.85,0.7916666666666666
CODE_SLICE_BLOCK,0.8,0.7,0.85,0.95,0.6,0.85,0.7916666666666666
SLICE_BACKWARD_SLICE_FORWARD,0.85,0.5,0.65,1.0,1.0,0.75,0.7916666666666666
CODE_SLICE_BACKWARD,0.8,0.55,0.7,1.0,0.75,0.9,0.7833333333333333
SLICE_BACKWARD_SLICE_UNION,0.8,0.45,0.55,1.0,1.0,0.9,0.7833333333333333
DOCSTRING_SLICE_BACKWARD,0.85,0.5,0.7,1.0,0.75,0.85,0.7749999999999999
DOCSTRING,0.85,0.6,0.6,1.0,0.65,0.9,0.7666666666666666
SLICE_UNION,0.8,0.3,0.55,0.95,1.0,1.0,0.7666666666666666
SLICE_BLOCK_SLICE_UNION,0.75,0.4,0.65,1.0,1.0,0.75,0.7583333333333333
SLICE_BLOCK_SLICE_FORWARD,0.75,0.45,0.5,1.0,0.9,0.9,0.75
ERROR_DOCSTRING,0.95,0.65,0.65,1.0,0.4,0.85,0.75
CODE_SLICE_FORWARD,0.75,0.5,0.6,1.0,0.75,0.9,0.75
SLICE_BACKWARD,0.8,0.4,0.55,1.0,0.95,0.8,0.75
SLICE_FORWARD_SLICE_UNION,0.85,0.25,0.55,0.95,0.95,0.8,0.725
DOCSTRING_SLICE_BLOCK,0.85,0.5,0.6,1.0,0.55,0.85,0.725
SLICE_BLOCK_SLICE_BACKWARD,0.85,0.4,0.45,0.95,0.95,0.7,0.7166666666666667
CODE_DOCSTRING,0.7,0.6,0.8,1.0,0.45,0.75,0.7166666666666667
TEST_SLICE_FORWARD,0.8,0.35,0.45,1.0,0.75,0.85,0.6999999999999998
TEST,1.0,0.5,0.55,0.95,0.25,0.85,0.6833333333333332
CODE,0.75,0.55,0.6,1.0,0.4,0.8,0.6833333333333332
SLICE_BLOCK,0.65,0.35,0.45,1.0,0.75,0.75,0.6583333333333333
DOCSTRING_SLICE_FORWARD,0.7,0.15,0.4,0.85,0.85,0.75,0.6166666666666667
SLICE_FORWARD,0.9,0.05,0.2,0.75,0.75,0.55,0.5333333333333333
