Level,Passed,Failed,Total,Pass_Rate,Minimal_Fix_Rate,Avg_Line_Deviation,Avg_Jaccard_Similarity,Avg_Expected_Changed_Lines,Avg_Actual_Changed_Lines,Block_Expected_Coverage,Block_Actual_Coverage,Backward_Expected_Coverage,Backward_Actual_Coverage,Forward_Expected_Coverage,Forward_Actual_Coverage,Union_Expected_Coverage,Union_Actual_Coverage
CODE_ERROR,14,10,24,0.583,0.429,5.21,0.786,1.5,5.12,,,,,,,,
CODE_TEST,18,6,24,0.75,0.278,7.83,0.692,1.5,5.45,,,,,,,,
CODE_DOCSTRING,11,13,24,0.458,0.364,14.82,0.616,1.5,5.18,,,,,,,,
CODE_SLICE_BLOCK,7,17,24,0.292,0.714,2.86,0.852,1.5,4.5,0.292,0.306,,,,,,
CODE_SLICE_BACKWARD,10,14,24,0.417,0.4,4.3,0.77,1.5,4.3,,,0.604,0.433,,,,
CODE_SLICE_FORWARD,12,12,24,0.5,0.417,4.25,0.758,1.5,5.0,,,,,0.042,0.202,,
CODE_SLICE_UNION,11,13,24,0.458,0.455,5.55,0.764,1.5,6.71,,,,,,,0.646,0.466
ERROR_TEST,17,7,24,0.708,0.176,9.0,0.622,1.5,5.46,,,,,,,,
ERROR_DOCSTRING,7,17,24,0.292,0.429,8.29,0.771,1.5,5.96,,,,,,,,
ERROR_SLICE_BLOCK,11,13,24,0.458,0.273,9.18,0.685,1.5,5.21,0.292,0.397,,,,,,
ERROR_SLICE_BACKWARD,15,9,24,0.625,0.2,17.8,0.527,1.5,6.25,,,0.604,0.313,,,,
ERROR_SLICE_FORWARD,8,16,24,0.333,0.375,16.88,0.658,1.5,5.75,,,,,0.042,0.128,,
ERROR_SLICE_UNION,11,13,24,0.458,0.273,10.91,0.674,1.5,4.65,,,,,,,0.646,0.512
TEST_DOCSTRING,16,8,24,0.667,0.188,12.25,0.61,1.5,5.61,,,,,,,,
TEST_SLICE_BLOCK,16,8,24,0.667,0.25,11.75,0.635,1.5,5.79,0.292,0.407,,,,,,
TEST_SLICE_BACKWARD,20,4,24,0.833,0.15,12.9,0.555,1.5,6.13,,,0.604,0.337,,,,
TEST_SLICE_FORWARD,13,11,24,0.542,0.154,14.31,0.602,1.5,8.32,,,,,0.042,0.214,,
TEST_SLICE_UNION,19,5,24,0.792,0.158,14.74,0.6,1.5,6.87,,,,,,,0.646,0.419
DOCSTRING_SLICE_BLOCK,8,16,24,0.333,0.125,16.0,0.602,1.5,6.57,0.292,0.488,,,,,,
DOCSTRING_SLICE_BACKWARD,6,18,24,0.25,0.5,5.33,0.777,1.5,5.54,,,0.604,0.364,,,,
DOCSTRING_SLICE_FORWARD,9,15,24,0.375,0.111,28.22,0.386,1.5,10.12,,,,,0.042,0.153,,
DOCSTRING_SLICE_UNION,6,18,24,0.25,0.5,8.33,0.616,1.5,6.79,,,,,,,0.646,0.486
SLICE_BLOCK_SLICE_BACKWARD,4,20,24,0.167,0.75,6.5,0.806,1.5,5.3,0.292,0.372,0.604,0.349,,,,
SLICE_BLOCK_SLICE_FORWARD,9,15,24,0.375,0.111,21.0,0.576,1.5,5.83,0.292,0.443,,,0.042,0.146,,
SLICE_BLOCK_SLICE_UNION,6,18,24,0.25,0.167,25.17,0.484,1.5,7.04,0.292,0.348,,,,,0.646,0.502
SLICE_BACKWARD_SLICE_FORWARD,6,18,24,0.25,0.333,9.5,0.61,1.5,6.71,,,0.604,0.379,0.042,0.296,,
SLICE_BACKWARD_SLICE_UNION,5,19,24,0.208,0.4,12.8,0.66,1.5,6.32,,,0.604,0.39,,,0.646,0.503
SLICE_FORWARD_SLICE_UNION,5,19,24,0.208,0.2,26.2,0.533,1.5,8.43,,,,,0.042,0.334,0.646,0.576
BASELINE,18,6,24,0.75,0.278,8.72,0.643,1.5,5.83,0.292,0.388,0.604,0.328,0.042,0.131,0.646,0.418
