Level,Passed,Failed,Total,Pass_Rate,Minimal_Fix_Rate,Avg_Line_Deviation,Avg_Jaccard_Similarity,Avg_Expected_Changed_Lines,Avg_Actual_Changed_Lines,Avg_Baseline_Volume,Std_Baseline_Volume,Avg_Baseline_Effort,Std_Baseline_Effort,Avg_Fix_Volume,Std_Fix_Volume,Avg_Fix_Effort,Std_Fix_Effort,Avg_Delta_Volume,Std_Delta_Volume,Avg_Delta_Effort,Std_Delta_Effort,Block_Expected_Coverage,Block_Actual_Coverage,Backward_Expected_Coverage,Backward_Actual_Coverage,Forward_Expected_Coverage,Forward_Actual_Coverage,Union_Expected_Coverage,Union_Actual_Coverage
CODE_ERROR,23,13,36,0.639,0.261,4.91,0.802,1.45,5.89,241.44,204.82,1593.7,1765.17,236.83,215.87,1577.96,1863.81,16.01,40.4,119.95,422.81,,,,,,,,
CODE_TEST,29,7,36,0.806,0.172,6.03,0.763,1.45,4.16,241.44,204.82,1593.7,1765.17,262.83,228.77,1800.05,1987.76,22.0,37.74,210.22,354.03,,,,,,,,
CODE_DOCSTRING,18,18,36,0.5,0.222,11.89,0.686,1.45,7.82,241.44,204.82,1593.7,1765.17,236.88,171.33,1527.27,1406.15,24.34,50.8,186.29,410.45,,,,,,,,
CODE_SLICE_BLOCK,19,17,36,0.528,0.263,9.58,0.774,1.45,4.03,241.44,204.82,1593.7,1765.17,241.82,216.06,1632.56,1890.44,4.89,46.57,45.67,331.03,0.361,0.346,,,,,,
CODE_SLICE_BACKWARD,19,17,36,0.528,0.211,5.84,0.764,1.45,5.79,241.44,204.82,1593.7,1765.17,268.79,213.87,1802.69,1820.15,29.9,74.68,246.56,707.2,,,0.611,0.43,,,,
CODE_SLICE_FORWARD,17,19,36,0.472,0.294,4.53,0.769,1.45,7.36,241.44,204.82,1593.7,1765.17,223.53,184.19,1483.9,1527.42,20.47,31.27,195.02,309.2,,,,,0.153,0.212,,
CODE_SLICE_UNION,20,16,36,0.556,0.25,5.15,0.79,1.45,8.09,241.44,204.82,1593.7,1765.17,219.95,188.98,1380.76,1549.23,17.28,43.19,153.89,331.59,,,,,,,0.681,0.49
ERROR_TEST,27,9,36,0.75,0.111,10.07,0.667,1.45,6.52,241.44,204.82,1593.7,1765.17,243.66,198.46,1725.6,1796.12,25.39,35.51,297.07,394.03,,,,,,,,
ERROR_DOCSTRING,14,22,36,0.389,0.286,17.79,0.712,1.45,8.39,241.44,204.82,1593.7,1765.17,232.02,177.36,1548.43,1582.51,5.44,37.61,51.88,225.74,,,,,,,,
ERROR_SLICE_BLOCK,22,14,36,0.611,0.182,9.95,0.727,1.45,6.18,241.44,204.82,1593.7,1765.17,245.06,201.41,1646.15,1836.21,20.92,53.98,201.1,505.96,0.361,0.465,,,,,,
ERROR_SLICE_BACKWARD,27,9,36,0.75,0.111,15.85,0.626,1.45,5.28,241.44,204.82,1593.7,1765.17,288.04,221.68,2037.52,2226.94,40.15,62.44,398.73,717.39,,,0.611,0.311,,,,
ERROR_SLICE_FORWARD,19,17,36,0.528,0.158,21.0,0.611,1.45,5.94,241.44,204.82,1593.7,1765.17,267.99,229.57,1853.97,2392.87,27.16,42.5,264.14,717.07,,,,,0.153,0.156,,
ERROR_SLICE_UNION,20,16,36,0.556,0.15,10.2,0.737,1.45,4.68,241.44,204.82,1593.7,1765.17,262.54,218.32,1859.6,2076.9,25.71,35.14,272.7,435.85,,,,,,,0.681,0.505
TEST_DOCSTRING,26,10,36,0.722,0.115,15.15,0.611,1.45,6.69,241.44,204.82,1593.7,1765.17,240.83,198.36,1650.73,1816.71,19.54,36.4,213.68,338.29,,,,,,,,
TEST_SLICE_BLOCK,23,13,36,0.639,0.174,11.17,0.679,1.45,4.7,241.44,204.82,1593.7,1765.17,273.62,226.32,1919.37,2044.33,27.79,39.95,282.65,406.41,0.361,0.496,,,,,,
TEST_SLICE_BACKWARD,30,6,36,0.833,0.133,12.97,0.635,1.45,5.32,241.44,204.82,1593.7,1765.17,259.39,212.21,1750.55,1884.09,22.46,55.81,163.66,367.38,,,0.611,0.368,,,,
TEST_SLICE_FORWARD,23,13,36,0.639,0.087,12.09,0.676,1.45,8.41,241.44,204.82,1593.7,1765.17,249.77,200.6,1690.07,1713.95,23.07,37.77,216.83,333.97,,,,,0.153,0.172,,
TEST_SLICE_UNION,30,6,36,0.833,0.167,12.57,0.648,1.45,5.34,241.44,204.82,1593.7,1765.17,275.68,227.66,1841.88,1980.6,25.96,43.45,202.23,401.55,,,,,,,0.681,0.446
DOCSTRING_SLICE_BLOCK,14,22,36,0.389,0.071,11.14,0.699,1.45,8.55,241.44,204.82,1593.7,1765.17,234.62,181.2,1482.58,1504.61,23.57,32.02,176.93,318.95,0.361,0.496,,,,,,
DOCSTRING_SLICE_BACKWARD,12,24,36,0.333,0.333,19.25,0.677,1.45,6.68,241.44,204.82,1593.7,1765.17,279.14,214.61,2012.09,2082.15,26.2,63.2,317.77,522.13,,,0.611,0.4,,,,
DOCSTRING_SLICE_FORWARD,19,17,36,0.528,0.053,23.47,0.513,1.45,8.54,241.44,204.82,1593.7,1765.17,288.61,238.53,2136.39,2467.06,44.97,78.07,501.88,1036.51,,,,,0.153,0.169,,
DOCSTRING_SLICE_UNION,15,21,36,0.417,0.267,16.6,0.603,1.45,7.0,241.44,204.82,1593.7,1765.17,256.64,225.01,1849.59,2232.24,13.43,44.94,215.14,558.78,,,,,,,0.681,0.466
SLICE_BLOCK_SLICE_BACKWARD,13,23,36,0.361,0.308,18.38,0.658,1.45,5.52,241.44,204.82,1593.7,1765.17,275.0,225.64,1973.67,2179.4,35.75,61.53,383.28,652.25,0.361,0.398,0.611,0.389,,,,
SLICE_BLOCK_SLICE_FORWARD,18,18,36,0.5,0.111,18.11,0.617,1.45,5.0,241.44,204.82,1593.7,1765.17,264.25,227.48,1794.83,2087.1,25.0,48.83,204.44,529.29,0.361,0.428,,,0.153,0.183,,
SLICE_BLOCK_SLICE_UNION,13,23,36,0.361,0.077,21.54,0.598,1.45,6.37,241.44,204.82,1593.7,1765.17,261.28,229.23,1850.06,2214.48,22.79,55.42,263.85,588.76,0.361,0.328,,,,,0.681,0.491
SLICE_BACKWARD_SLICE_FORWARD,18,18,36,0.5,0.167,6.17,0.755,1.45,5.59,241.44,204.82,1593.7,1765.17,263.86,231.27,1807.8,2017.36,26.93,55.05,220.9,489.08,,,0.611,0.386,0.153,0.252,,
SLICE_BACKWARD_SLICE_UNION,14,22,36,0.389,0.143,16.5,0.671,1.45,5.94,241.44,204.82,1593.7,1765.17,260.15,227.2,1838.42,2229.66,23.22,35.48,251.53,534.76,,,0.611,0.369,,,0.681,0.485
SLICE_FORWARD_SLICE_UNION,14,22,36,0.389,0.071,15.0,0.665,1.45,8.06,241.44,204.82,1593.7,1765.17,232.39,210.19,1537.97,1856.74,11.1,73.84,100.93,618.23,,,,,0.153,0.244,0.681,0.495
BASELINE,27,9,36,0.75,0.259,6.63,0.732,1.45,5.5,241.44,204.82,1593.7,1765.17,278.22,238.27,1915.79,2088.23,25.68,40.6,205.79,318.05,0.361,0.508,0.611,0.427,0.153,0.213,0.681,0.529
